embedding_name,clue,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19
babelnetWithHeuristicsTrial5,microphone,flute,beach,robot,boom,india,march,africa,field,bug,change,parachute,turkey,pit,plate,whip,bottle,watch,key,torch,kid
babelnetWithHeuristicsTrial6,whole,piano,cross,pistol,mammoth,mercury,box,washer,grass,hood,jupiter,cat,torch,compound,greece,moon,fall,board,disease,alps,shoe
babelnetWithHeuristicsTrial7,space,port,saturn,grass,cloak,fish,nut,server,pit,vacuum,well,pirate,spot,play,soul,unicorn,beijing,green,car,lock,jet
babelnetWithHeuristicsTrial8,water,kangaroo,march,cold,amazon,robin,glove,brush,pyramid,suit,oil,ice,pan,pound,round,ghost,bomb,ruler,alps,shoe,game
babelnetWithHeuristicsTrial9,country,kangaroo,beach,field,pistol,march,casino,tap,glass,server,table,oil,point,nurse,lock,germany,gold,pipe,ivory,kid,drill
word2vecWithoutHeuristicsTrial1,compressor,shadow,box,octopus,dance,gas,turkey,suit,pyramid,point,satellite,pipe,tower,ground,swing,fall,lawyer,heart,conductor,cap,jet
word2vecWithoutHeuristicsTrial3,blaze,opera,egypt,bark,tag,africa,fire,pistol,spider,cloak,hood,jupiter,carrot,satellite,whip,bottle,snowman,boot,king,rose,charge
word2vecWithoutHeuristicsTrial4,bedpan,tie,post,flute,boom,shadow,head,cloak,fish,scientist,figure,brush,phoenix,nurse,needle,foot,pirate,racket,ground,ruler,kid
word2vecWithoutHeuristicsTrial5,jetpack,flute,beach,robot,boom,india,march,africa,field,bug,change,parachute,turkey,pit,plate,whip,bottle,watch,key,torch,kid
word2vecWithoutHeuristicsTrial6,gargantuan,piano,cross,pistol,mammoth,mercury,box,washer,grass,hood,jupiter,cat,torch,compound,greece,moon,fall,board,disease,alps,shoe
word2vecWithoutHeuristicsTrial8,squirrel,kangaroo,march,cold,amazon,robin,glove,brush,pyramid,suit,oil,ice,pan,pound,round,ghost,bomb,ruler,alps,shoe,game
word2vecWithoutHeuristicsTrial9,breakfront,kangaroo,beach,field,pistol,march,casino,tap,glass,server,table,oil,point,nurse,lock,germany,gold,pipe,ivory,kid,drill
babelnetWithoutHeuristicsTrial7,fastener,port,saturn,grass,cloak,fish,nut,server,pit,vacuum,well,pirate,spot,play,soul,unicorn,beijing,green,car,lock,jet
fasttextWithoutHeuristicsTrial5,boytoy,flute,beach,robot,boom,india,march,africa,field,bug,change,parachute,turkey,pit,plate,whip,bottle,watch,key,torch,kid
fasttextWithoutHeuristicsTrial6,boad,piano,cross,pistol,mammoth,mercury,box,washer,grass,hood,jupiter,cat,torch,compound,greece,moon,fall,board,disease,alps,shoe
fasttextWithoutHeuristicsTrial7,limousine,port,saturn,grass,cloak,fish,nut,server,pit,vacuum,well,pirate,spot,play,soul,unicorn,beijing,green,car,lock,jet
fasttextWithoutHeuristicsTrial8,snowfields,kangaroo,march,cold,amazon,robin,glove,brush,pyramid,suit,oil,ice,pan,pound,round,ghost,bomb,ruler,alps,shoe,game
fasttextWithoutHeuristicsTrial9,handguard,kangaroo,beach,field,pistol,march,casino,tap,glass,server,table,oil,point,nurse,lock,germany,gold,pipe,ivory,kid,drill
bertWithoutHeuristicsTrial0,congregation,dwarf,bison,bolt,beach,boom,egypt,field,mammoth,head,cell,scientist,nut,giant,mouse,well,crown,ivory,ham,fall,sink
bertWithoutHeuristicsTrial1,complete,shadow,box,octopus,dance,gas,turkey,suit,pyramid,point,satellite,pipe,tower,ground,swing,fall,lawyer,heart,conductor,cap,jet
bertWithoutHeuristicsTrial2,france,flute,egypt,thumb,board,march,fork,lemon,grass,jack,cold,circle,olympus,fan,point,round,well,ghost,ham,heart,luck
bertWithoutHeuristicsTrial3,changes,opera,egypt,bark,tag,africa,fire,pistol,spider,cloak,hood,jupiter,carrot,satellite,whip,bottle,snowman,boot,king,rose,charge
bertWithoutHeuristicsTrial5,hand,flute,beach,robot,boom,india,march,africa,field,bug,change,parachute,turkey,pit,plate,whip,bottle,watch,key,torch,kid
bertWithoutHeuristicsTrial6,thank,piano,cross,pistol,mammoth,mercury,box,washer,grass,hood,jupiter,cat,torch,compound,greece,moon,fall,board,disease,alps,shoe
bertWithoutHeuristicsTrial7,nearly,port,saturn,grass,cloak,fish,nut,server,pit,vacuum,well,pirate,spot,play,soul,unicorn,beijing,green,car,lock,jet
bertWithoutHeuristicsTrial8,maid,kangaroo,march,cold,amazon,robin,glove,brush,pyramid,suit,oil,ice,pan,pound,round,ghost,bomb,ruler,alps,shoe,game
bertWithoutHeuristicsTrial9,door,kangaroo,beach,field,pistol,march,casino,tap,glass,server,table,oil,point,nurse,lock,germany,gold,pipe,ivory,kid,drill
gloveWithoutHeuristicsTrial3,juice,opera,egypt,bark,tag,africa,fire,pistol,spider,cloak,hood,jupiter,carrot,satellite,whip,bottle,snowman,boot,king,rose,charge
gloveWithoutHeuristicsTrial5,anymore,flute,beach,robot,boom,india,march,africa,field,bug,change,parachute,turkey,pit,plate,whip,bottle,watch,key,torch,kid
