embedding_name,configuration,clue,word0ForClue,word1ForClue,blueWord0,blueWord1,blueWord2,blueWord3,blueWord4,blueWord5,blueWord6,blueWord7,blueWord8,blueWord9,redWord0,redWord1,redWord2,redWord3,redWord4,redWord5,redWord6,redWord7,redWord8,redWord9
babelnetWithHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",sport,row,field,mammoth,scientist,greece,contract,chest,round,row,robot,field,antarctica,key,hole,ray,train,mercury,draft,africa,india,unicorn,flute
babelnetWithHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",someone,shadow,shark,death,march,whale,cold,tower,oil,shadow,snowman,shark,vacuum,lemon,scientist,litter,change,chest,lock,bark,root,box,shoe
babelnetWithHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",business,suit,pyramid,suit,amazon,pyramid,cat,kid,fan,bark,mug,dwarf,thumb,witch,jack,opera,diamond,air,cricket,india,plate,vacuum,turkey
babelnetWithHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",person,millionaire,shark,millionaire,watch,cycle,grass,tag,racket,dance,robin,table,shark,sink,lemon,pipe,play,staff,lock,glass,mint,lead,air
babelnetWithHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",unit,foot,staff,foot,board,swing,ghost,staff,kiwi,australia,ice,cross,shark,change,scientist,torch,pool,giant,ruler,carrot,compound,dwarf,straw
babelnetWithHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",fruit,olive,lemon,pound,olive,lemon,whale,worm,roulette,robot,string,table,shoe,sink,figure,change,scale,pyramid,staff,ivory,cat,jupiter,india
babelnetWithHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",fruit,olive,pit,ham,fall,olive,pit,tube,cast,egypt,cell,dwarf,bottle,saturn,foot,conductor,pan,mint,fork,oil,alps,bark,lab
babelnetWithHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",common,green,turkey,death,star,octopus,pit,green,round,calf,alps,shoe,turkey,well,engine,piano,tap,ice,bill,robin,pan,thumb,straw
babelnetWithHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",cabinet,lock,chest,moon,luck,lock,chest,egypt,mercury,diamond,robin,unicorn,beach,suit,tube,whip,tag,kangaroo,string,server,field,soul,root
babelnetWithHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",entity,figure,table,figure,pitch,hole,fighter,whale,lead,mug,table,shark,antarctica,saturn,suit,phoenix,swing,tower,shop,tie,field,unicorn,beach
fasttextWithHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",science,scientist,field,mammoth,scientist,greece,contract,chest,round,row,robot,field,antarctica,key,hole,ray,train,mercury,draft,africa,india,unicorn,flute
fasttextWithHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",dolphin,whale,shark,death,march,whale,cold,tower,oil,shadow,snowman,shark,vacuum,lemon,scientist,litter,change,chest,lock,bark,root,box,shoe
fasttextWithHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",dog,cat,bark,suit,amazon,pyramid,cat,kid,fan,bark,mug,dwarf,thumb,witch,jack,opera,diamond,air,cricket,india,plate,vacuum,turkey
fasttextWithHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",template,tag,table,millionaire,watch,cycle,grass,tag,racket,dance,robin,table,shark,sink,lemon,pipe,play,staff,lock,glass,mint,lead,air
fasttextWithHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",nz,kiwi,australia,foot,board,swing,ghost,staff,kiwi,australia,ice,cross,shark,change,scientist,torch,pool,giant,ruler,carrot,compound,dwarf,straw
fasttextWithHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",citrus,olive,lemon,pound,olive,lemon,whale,worm,roulette,robot,string,table,shoe,sink,figure,change,scale,pyramid,staff,ivory,cat,jupiter,india
fasttextWithHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",flask,tube,bottle,ham,fall,olive,pit,tube,cast,egypt,cell,dwarf,bottle,saturn,foot,conductor,pan,mint,fork,oil,alps,bark,lab
fasttextWithHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",lamb,calf,turkey,death,star,octopus,pit,green,round,calf,alps,shoe,turkey,well,engine,piano,tap,ice,bill,robin,pan,thumb,straw
fasttextWithHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",sea,moon,beach,moon,luck,lock,chest,egypt,mercury,diamond,robin,unicorn,beach,suit,tube,whip,tag,kangaroo,string,server,field,soul,root
fasttextWithHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",fish,whale,shark,figure,pitch,hole,fighter,whale,lead,mug,table,shark,antarctica,saturn,suit,phoenix,swing,tower,shop,tie,field,unicorn,beach
bertWithHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",needs,scientist,robot,mammoth,scientist,greece,contract,chest,round,row,robot,field,antarctica,key,hole,ray,train,mercury,draft,africa,india,unicorn,flute
bertWithHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",business,cold,shadow,death,march,whale,cold,tower,oil,shadow,snowman,shark,vacuum,lemon,scientist,litter,change,chest,lock,bark,root,box,shoe
bertWithHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",expected,pyramid,dwarf,suit,amazon,pyramid,cat,kid,fan,bark,mug,dwarf,thumb,witch,jack,opera,diamond,air,cricket,india,plate,vacuum,turkey
bertWithHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",share,tag,table,millionaire,watch,cycle,grass,tag,racket,dance,robin,table,shark,sink,lemon,pipe,play,staff,lock,glass,mint,lead,air
bertWithHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",steps,foot,ghost,foot,board,swing,ghost,staff,kiwi,australia,ice,cross,shark,change,scientist,torch,pool,giant,ruler,carrot,compound,dwarf,straw
bertWithHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",cut,olive,lemon,pound,olive,lemon,whale,worm,roulette,robot,string,table,shoe,sink,figure,change,scale,pyramid,staff,ivory,cat,jupiter,india
bertWithHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",making,olive,dwarf,ham,fall,olive,pit,tube,cast,egypt,cell,dwarf,bottle,saturn,foot,conductor,pan,mint,fork,oil,alps,bark,lab
bertWithHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",occupying,alps,turkey,death,star,octopus,pit,green,round,calf,alps,shoe,turkey,well,engine,piano,tap,ice,bill,robin,pan,thumb,straw
bertWithHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",points,luck,lock,moon,luck,lock,chest,egypt,mercury,diamond,robin,unicorn,beach,suit,tube,whip,tag,kangaroo,string,server,field,soul,root
bertWithHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",husband,pitch,mug,figure,pitch,hole,fighter,whale,lead,mug,table,shark,antarctica,saturn,suit,phoenix,swing,tower,shop,tie,field,unicorn,beach
gloveWithHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",science,scientist,field,mammoth,scientist,greece,contract,chest,round,row,robot,field,antarctica,key,hole,ray,train,mercury,draft,africa,india,unicorn,flute
gloveWithHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",april,death,march,death,march,whale,cold,tower,oil,shadow,snowman,shark,vacuum,lemon,scientist,litter,change,chest,lock,bark,root,box,shoe
gloveWithHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",daddy,cat,kid,suit,amazon,pyramid,cat,kid,fan,bark,mug,dwarf,thumb,witch,jack,opera,diamond,air,cricket,india,plate,vacuum,turkey
gloveWithHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",sitting,watch,table,millionaire,watch,cycle,grass,tag,racket,dance,robin,table,shark,sink,lemon,pipe,play,staff,lock,glass,mint,lead,air
gloveWithHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",zealand,kiwi,australia,foot,board,swing,ghost,staff,kiwi,australia,ice,cross,shark,change,scientist,torch,pool,giant,ruler,carrot,compound,dwarf,straw
gloveWithHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",vinegar,olive,lemon,pound,olive,lemon,whale,worm,roulette,robot,string,table,shoe,sink,figure,change,scale,pyramid,staff,ivory,cat,jupiter,india
gloveWithHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",plastic,tube,bottle,ham,fall,olive,pit,tube,cast,egypt,cell,dwarf,bottle,saturn,foot,conductor,pan,mint,fork,oil,alps,bark,lab
gloveWithHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",bright,star,green,death,star,octopus,pit,green,round,calf,alps,shoe,turkey,well,engine,piano,tap,ice,bill,robin,pan,thumb,straw
gloveWithHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",mars,moon,mercury,moon,luck,lock,chest,egypt,mercury,diamond,robin,unicorn,beach,suit,tube,whip,tag,kangaroo,string,server,field,soul,root
gloveWithHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",humpback,whale,shark,figure,pitch,hole,fighter,whale,lead,mug,table,shark,antarctica,saturn,suit,phoenix,swing,tower,shop,tie,field,unicorn,beach
fasttextWithoutHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",bioengineer,scientist,robot,mammoth,scientist,greece,contract,chest,round,row,robot,field,antarctica,key,hole,ray,train,mercury,draft,africa,india,unicorn,flute
fasttextWithoutHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",dolphin,whale,shark,death,march,whale,cold,tower,oil,shadow,snowman,shark,vacuum,lemon,scientist,litter,change,chest,lock,bark,root,box,shoe
fasttextWithoutHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",dog,cat,bark,suit,amazon,pyramid,cat,kid,fan,bark,mug,dwarf,thumb,witch,jack,opera,diamond,air,cricket,india,plate,vacuum,turkey
fasttextWithoutHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",template,tag,table,millionaire,watch,cycle,grass,tag,racket,dance,robin,table,shark,sink,lemon,pipe,play,staff,lock,glass,mint,lead,air
fasttextWithoutHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",nz,kiwi,australia,foot,board,swing,ghost,staff,kiwi,australia,ice,cross,shark,change,scientist,torch,pool,giant,ruler,carrot,compound,dwarf,straw
fasttextWithoutHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",citrus,olive,lemon,pound,olive,lemon,whale,worm,roulette,robot,string,table,shoe,sink,figure,change,scale,pyramid,staff,ivory,cat,jupiter,india
fasttextWithoutHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",flask,tube,bottle,ham,fall,olive,pit,tube,cast,egypt,cell,dwarf,bottle,saturn,foot,conductor,pan,mint,fork,oil,alps,bark,lab
fasttextWithoutHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",lamb,calf,turkey,death,star,octopus,pit,green,round,calf,alps,shoe,turkey,well,engine,piano,tap,ice,bill,robin,pan,thumb,straw
fasttextWithoutHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",sea,moon,beach,moon,luck,lock,chest,egypt,mercury,diamond,robin,unicorn,beach,suit,tube,whip,tag,kangaroo,string,server,field,soul,root
fasttextWithoutHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",humpback,whale,shark,figure,pitch,hole,fighter,whale,lead,mug,table,shark,antarctica,saturn,suit,phoenix,swing,tower,shop,tie,field,unicorn,beach
bertWithoutHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",distant,robot,field,mammoth,scientist,greece,contract,chest,round,row,robot,field,antarctica,key,hole,ray,train,mercury,draft,africa,india,unicorn,flute
bertWithoutHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",business,cold,shadow,death,march,whale,cold,tower,oil,shadow,snowman,shark,vacuum,lemon,scientist,litter,change,chest,lock,bark,root,box,shoe
bertWithoutHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",deliver,pyramid,mug,suit,amazon,pyramid,cat,kid,fan,bark,mug,dwarf,thumb,witch,jack,opera,diamond,air,cricket,india,plate,vacuum,turkey
bertWithoutHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",dressing,dance,table,millionaire,watch,cycle,grass,tag,racket,dance,robin,table,shark,sink,lemon,pipe,play,staff,lock,glass,mint,lead,air
bertWithoutHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",helpful,board,swing,foot,board,swing,ghost,staff,kiwi,australia,ice,cross,shark,change,scientist,torch,pool,giant,ruler,carrot,compound,dwarf,straw
bertWithoutHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",grass,lemon,worm,pound,olive,lemon,whale,worm,roulette,robot,string,table,shoe,sink,figure,change,scale,pyramid,staff,ivory,cat,jupiter,india
bertWithoutHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",let,cast,dwarf,ham,fall,olive,pit,tube,cast,egypt,cell,dwarf,bottle,saturn,foot,conductor,pan,mint,fork,oil,alps,bark,lab
bertWithoutHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",toast,pit,alps,death,star,octopus,pit,green,round,calf,alps,shoe,turkey,well,engine,piano,tap,ice,bill,robin,pan,thumb,straw
bertWithoutHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",boy,luck,diamond,moon,luck,lock,chest,egypt,mercury,diamond,robin,unicorn,beach,suit,tube,whip,tag,kangaroo,string,server,field,soul,root
bertWithoutHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': False, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",damn,mug,table,figure,pitch,hole,fighter,whale,lead,mug,table,shark,antarctica,saturn,suit,phoenix,swing,tower,shop,tie,field,unicorn,beach
